energy_production_peak,nbr_on,reserve_primary_up_on_peak,reserve_primary_up_off,reserve_primary_down_peak
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,77.0,0.0
0.0,0.0,0.0,265.0,0.0
0.0,0.0,0.0,518.0,0.0
0.0,0.0,0.0,530.0,0.0
0.0,0.0,0.0,502.0,0.0
0.0,0.0,0.0,582.0,0.0
0.0,0.0,0.0,320.0,0.0
0.0,0.0,0.0,176.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,66.0,0.0
0.0,0.0,0.0,139.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,244.0,0.0
0.0,0.0,0.0,1491.0,0.0
735.0,10.0,230.0,999.9999999999995,249.99999999999997
808.5,11.0,253.0,1562.9999999999995,275.0
955.5,13.0,299.0,1445.0,325.0
1036.0,14.0,322.0,1360.0,350.0
1178.0000000000002,16.0,368.0,1190.0,400.0
1258.0,17.0,391.0,1105.0,425.0
1258.0,17.0,390.99999999999994,1105.0,424.99999999999994
1396.5,19.0,437.0,935.0,475.0
1480.0,20.0,460.0,850.0,500.0
1475.999999999999,20.0,460.0,850.0,500.0
1258.0,17.0,391.0,1105.0,425.0
1035.9999999999995,14.0,322.0,1360.0,350.0
808.5,11.0,253.0,1179.9999999999995,275.0
276.99999999999994,4.0,92.0,1311.9999999999998,82.99999999999989
125.00000000000017,2.0,46.0,1340.0,28.00000000000017
0.0,0.0,0.0,835.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,51.0,0.0
0.0,0.0,0.0,340.0,0.0
0.0,0.0,0.0,623.0,0.0
0.0,0.0,0.0,1071.0,0.0
0.0,0.0,0.0,1297.0,0.0
0.0,0.0,0.0,1648.0,0.0
0.0,0.0,0.0,1763.0,0.0
354.0000000000009,6.0,138.0,1200.0000000000002,19.000000000000046
458.9999999999994,6.0,123.00000000000061,1011.9999999999993,0.0
439.9999999999995,6.0,138.0,726.0000000000001,0.0
242.5,5.0,115.0,739.5000000000005,0.0
0.0,0.0,0.0,505.9999999999999,0.0
0.0,0.0,0.0,104.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
